"","CLIENT.CODE","DISTRICT","CLIENT.TYPE","YEAR","MONTH","MARGIN"
"8517",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,2460.5223
"8518",7142,"KASARANI","SHOPS",20,2,370
"8519",7335,"VOI","MINI SUPERMAKETS",20,2,111
"8520",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1260.4
"8521",1192,"MTITO ANDEI","SUPERMAKETS",20,2,380.1741
"8522",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,1493.1808
"8523",5145,"MANYANGA","MINI SUPERMAKETS",20,2,959
"8524",5145,"MANYANGA","MINI SUPERMAKETS",20,2,2343.6626
"8525",6036,"VOI","MINI SUPERMAKETS",20,2,1119.8856
"8526",101,"VOI","SUPERMAKETS",20,2,312.1979
"8527",6041,"NAIROBI","SUPERMAKETS",20,2,2239.7712
"8528",6041,"NAIROBI","SUPERMAKETS",20,2,820.1741
"8529",5110,"KASARANI","SUPERMAKETS",20,2,865.336
"8530",5110,"KASARANI","SUPERMAKETS",20,2,5018.3848
"8531",7924,"KERUGOYA","MINI SHOPS",20,2,1548.118
"8532",7924,"KERUGOYA","MINI SHOPS",20,2,1214.8234
"8533",7924,"KERUGOYA","MINI SHOPS",20,2,964.75
"8534",7924,"KERUGOYA","MINI SHOPS",20,2,1629.923
"8535",1192,"MTITO ANDEI","SUPERMAKETS",20,2,2828.3416
"8536",1192,"MTITO ANDEI","SUPERMAKETS",20,2,5423.8687
"8537",1192,"MTITO ANDEI","SUPERMAKETS",20,2,4840.1645
"8538",1192,"MTITO ANDEI","SUPERMAKETS",20,2,3640.0041
"8539",5110,"KASARANI","SUPERMAKETS",20,2,13445.1818
"8540",1192,"MTITO ANDEI","SUPERMAKETS",20,2,13445.1818
"8541",1192,"MTITO ANDEI","SUPERMAKETS",20,2,5924.6956
"8542",4120,"MACHAKOS","SUPERMAKETS",20,2,1639.2585
"8543",4957,"MAUA","SUPERMAKETS",20,2,114.2236
"8544",5110,"KASARANI","SUPERMAKETS",20,2,239.9068
