"","CLIENT.CODE","DISTRICT","CLIENT.TYPE","YEAR","MONTH","MARGIN"
"8206",4957,"MAUA","SUPERMAKETS",20,2,479.0802
"8207",4957,"MAUA","SUPERMAKETS",20,2,491.7786
"8208",4957,"MAUA","SUPERMAKETS",20,2,1373.024
"8209",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1240.8926
"8210",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1066.8756
"8211",7282,"MOMBASA","SUPERMAKETS",20,2,2883.8482
"8212",7282,"MOMBASA","SUPERMAKETS",20,2,13.3118
"8213",4988,"MTITO ANDEI","SUPERMAKETS",20,2,-6167.656
"8214",5142,"MTITO ANDEI","MINI SHOPS",20,2,2117.357
"8215",5142,"MTITO ANDEI","MINI SHOPS",20,2,14419.241
"8216",5142,"MTITO ANDEI","MINI SHOPS",20,2,7613.732
"8217",8163,"KILIMANJARO","MINI SUPERMAKETS",20,2,540.4896
"8218",8163,"KILIMANJARO","MINI SUPERMAKETS",20,2,593.9687
"8219",8163,"KILIMANJARO","MINI SUPERMAKETS",20,2,279.9953
"8220",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1240.8926
"8221",1192,"MTITO ANDEI","SUPERMAKETS",20,2,318.648
"8222",3045,"KILIMANJARO","MINI SHOPS",20,2,626.4804
"8223",4759,"MANYANGA","SUPERMAKETS",20,2,355.6252
"8224",4759,"MANYANGA","SUPERMAKETS",20,2,13.3118
"8225",5142,"MTITO ANDEI","MINI SHOPS",20,2,2014.92
"8226",5142,"MTITO ANDEI","MINI SHOPS",20,2,-21622.161
"8227",5142,"MTITO ANDEI","MINI SHOPS",20,2,1778.126
"8228",5145,"MANYANGA","MINI SUPERMAKETS",20,2,2883.8482
"8229",5145,"MANYANGA","MINI SUPERMAKETS",20,2,610.3778
"8230",5145,"MANYANGA","MINI SUPERMAKETS",20,2,0
"8231",5145,"MANYANGA","MINI SUPERMAKETS",20,2,0
"8232",5142,"MTITO ANDEI","MINI SHOPS",20,2,106.216
"8233",5142,"MTITO ANDEI","MINI SHOPS",20,2,-5531.8922
"8234",5142,"MTITO ANDEI","MINI SHOPS",20,2,50474.403
"8235",5142,"MTITO ANDEI","MINI SHOPS",20,2,-735.168
"8236",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,2950.8414
"8237",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,1611.936
"8238",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,3278.524
"8239",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,1847.2928
"8240",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,988.848
"8241",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,442.4904
"8242",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,1373.024
"8243",6041,"NAIROBI","SUPERMAKETS",20,2,79.662
"8244",6041,"NAIROBI","SUPERMAKETS",20,2,1373.024
"8245",6041,"NAIROBI","SUPERMAKETS",20,2,32.0287
"8246",6041,"NAIROBI","SUPERMAKETS",20,2,-607.2665
"8247",6041,"NAIROBI","SUPERMAKETS",20,2,296.6945
"8248",7142,"KASARANI","SHOPS",20,2,1058.6785
"8249",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,2084.7722
"8250",6041,"NAIROBI","SUPERMAKETS",20,2,6608.293
"8251",7282,"MOMBASA","SUPERMAKETS",20,2,1321.6586
"8252",1192,"MTITO ANDEI","SUPERMAKETS",20,2,17720.5637
"8253",1192,"MTITO ANDEI","SUPERMAKETS",20,2,2685.3852
"8254",1192,"MTITO ANDEI","SUPERMAKETS",20,2,1550.8866
"8255",5142,"MTITO ANDEI","MINI SHOPS",20,2,1412.599
"8256",5142,"MTITO ANDEI","MINI SHOPS",20,2,442.2696
"8257",6041,"NAIROBI","SUPERMAKETS",20,2,2685.3852
"8258",6072,"MANYANGA","MINI SHOPS",20,2,308.3517
"8259",6041,"NAIROBI","SUPERMAKETS",20,2,1343.859
"8260",6072,"MANYANGA","MINI SHOPS",20,2,1850.1102
"8261",5556,"MANYANGA","MINI SUPERMAKETS",20,2,2474.3
"8262",5556,"MANYANGA","MINI SUPERMAKETS",20,2,424.2832
"8263",5893,"MANYANGA","SHOPS",20,2,3625.362
"8264",6036,"VOI","MINI SUPERMAKETS",20,2,1355.3728
